Date,HDFC_Adj_Close,HDFC_Returns,HDFC_Close,HDFC_High,HDFC_Low,HDFC_Open,HDFC_Volume,ICICI_Adj_Close,ICICI_Returns,ICICI_Close,ICICI_High,ICICI_Low,ICICI_Open,ICICI_Volume,TCS_Adj_Close,TCS_Returns,TCS_Close,TCS_High,TCS_Low,TCS_Open,TCS_Volume,INFY_Adj_Close,INFY_Returns,INFY_Close,INFY_High,INFY_Low,INFY_Open,INFY_Volume,RELIANCE_Adj_Close,RELIANCE_Returns,RELIANCE_Close,RELIANCE_High,RELIANCE_Low,RELIANCE_Open,RELIANCE_Volume,NIFTY50_Adj_Close,NIFTY_Returns,NIFTY50_Close,NIFTY50_High,NIFTY50_Low,NIFTY50_Open,Set_Type
03-11-2015,249.409256,0.001660756,271.2250061,273,269.7999878,272.7374878,2548592,237.2351532,-0.000357744,254.0454559,257,252.9090881,254.9090881,9079788,1021.818298,0.010314475,1271.724976,1273.900024,1259.25,1264,1364906,437.1985474,0.012562346,572.75,575.2249756,566.7000122,566.7000122,3614682,209.5766907,0.007680486,221.0856476,221.8285522,219.7255859,220.1827545,11373522,8060.700195,0.001228984,8060.700195,8100.350098,8031.75,8086.350098,Train
04-11-2015,248.6735687,-0.002954078,270.4249878,274.5249939,269.5625,272.5125122,2696444,232.0566559,-0.022070308,248.5,255.4090881,247.7272644,255.4090881,7389933,1017.941406,-0.003801327,1266.900024,1273.599976,1260,1272.5,991434,433.8780518,-0.007623926,568.4000244,578.7999878,566.1500244,575.0499878,3205572,206.131424,-0.016575792,217.4511719,222.8686066,216.2854004,221.2685242,10033187,8040.200195,-0.002546443,8040.200195,8116.100098,8027.299805,8104.899902,Train
05-11-2015,248.2482605,-0.001711771,269.9624939,270.75,267.375,269.625,3596952,229.2551727,-0.012145874,245.5,248.6363678,244.3181763,247.2727203,11422504,997.3918457,-0.02039392,1241.324951,1267.474976,1240,1265.400024,1596098,428.5727844,-0.012302926,561.4500122,572.5,559.7000122,571.4749756,2345306,202.9461517,-0.015573265,214.0910034,217.3825989,213.2681122,216.9254303,10767454,7955.450195,-0.01059673,7955.450195,8031.200195,7944.100098,8030.350098,Train
06-11-2015,248.4897003,0.000972101,270.2250061,272.25,268.8125,270.1749878,5881004,226.7507782,-0.010984153,242.8181763,245.3636322,240.6818237,245.3636322,12121540,1006.672729,0.009262126,1252.875,1259.125,1241.724976,1246,908024,434.4505615,0.013621574,569.1500244,571.9500122,561.4500122,561.5,3026172,206.369751,0.016728786,217.7026215,218.2397919,214.3881683,214.7424622,8367190,7954.299805,-0.000144614,7954.299805,8002.649902,7926.149902,7956.549805,Train
09-11-2015,244.7884064,-0.015007207,266.2000122,267.4125061,262.75,264.5,11429432,223.3975067,-0.014898795,239.2272644,240.9090881,232.7272644,235.7272644,13448248,992.8522949,-0.013823937,1235.675049,1251.375,1234.300049,1247.5,2021556,433.0383301,-0.003255909,567.2999878,570,557.5999756,560,6125676,208.2874146,0.009249459,219.7255859,220.5827637,211.0851288,213.3824005,17031699,7915.200195,-0.004927652,7915.200195,7937.75,7771.700195,7788.25,Train
10-11-2015,242.4434967,-0.00962551,263.6499939,266.25,263.1124878,265.0125122,4402580,223.1003723,-0.001330956,238.9090881,242.1818237,236.7727203,237.7272644,8652695,987.5493774,-0.005355409,1229.074951,1238.5,1225,1236.474976,1361920,421.302124,-0.027476036,551.9249878,563.75,550.0499878,563.75,4680052,199.9450989,-0.040876103,210.9251251,219.3255615,209.4507599,218.7541046,11486238,7783.350098,-0.016798137,7783.350098,7885.100098,7772.850098,7877.600098,Train
13-11-2015,241.8572998,-0.002420798,263.0125122,263.75,260.25,262.3500061,3940028,222.2090149,-0.004003323,237.9545441,239.0909119,235.4545441,236.6818237,10160904,963.1432495,-0.025024344,1198.699951,1219.025024,1193.275024,1219.025024,2743232,420.1381226,-0.00276669,550.4000244,553,545,549.9749756,3520868,202.1769714,0.011100587,213.279541,214.5367432,209.0393219,209.1650391,13682323,7762.25,-0.002714609,7762.25,7775.100098,7730.899902,7762.450195,Train
16-11-2015,243.9033508,0.008424162,265.2374878,266.25,261.3125,262.1875,4734732,226.8781433,0.020794612,242.9545441,243.9545441,236,237.2727203,8992376,953.9832764,-0.009556013,1187.300049,1195,1178,1195,2043528,412.2757263,-0.018891156,540.0999756,547,533.5999756,541.8250122,6808334,202.4477692,0.001338514,213.5652618,215.3253479,211.3822937,211.6680298,15346549,7806.600098,0.005697302,7806.600098,7838.850098,7714.149902,7732.950195,Train
17-11-2015,243.868866,-0.000141397,265.2000122,265.9500122,262.7999878,265.8250122,2567404,227.3874969,0.002242537,243.5,247.5909119,240.9545441,247,17959700,960.3913574,0.006694724,1195.275024,1199.224976,1187.5,1190.25,1985028,405.1385498,-0.017463257,530.75,541.4500122,526,540,7184106,201.0285034,-0.007035217,212.0680389,214.616745,211.7137451,214.4224548,8588142,7837.549805,0.003956718,7837.549805,7860.450195,7793,7848.75,Train
18-11-2015,241.0641785,-0.011567448,262.1499939,266.4624939,261.5750122,265.4249878,2446720,221.1053619,-0.028016258,236.7727203,243.8636322,235.9090881,242.7272644,9500657,944.6832886,-0.016491138,1175.724976,1194.449951,1173,1194.449951,1520352,389.2993469,-0.03988053,510,522.5750122,505.625,520.5,10125252,197.6157227,-0.017122355,208.467865,212.8795166,207.9992676,212.0337524,11249222,7731.799805,-0.013584591,7731.799805,7843.399902,7725.049805,7823.149902,Train
